Store_Name,Floor_name,Floor_Index,latitude,longitude
Godiva Chocolatier,Level 3,3,37.784428,-122.406643
GUESS ,Level 2,2,37.783946,-122.406796
H&M,Level 3,3,37.783957,-122.406249
H&M Man,Level 2,2,37.784031,-122.406181
Haagen Dazs,Concourse Level,0,37.784037,-122.406937
Hallmark,Concourse Level,0,37.783771,-122.407377
Hollister Co.,Level 2,2,37.783954,-122.407507
House of Hoops by Foot Locker,Level 3,3,37.783839,-122.406836
iPlay n Talk,Level 3,3,37.783871,-122.407073
J.Crew,Level 2,2,37.784286,-122.406001
Jamba Juice,Concourse Level,0,37.784091,-122.406813
Janie And Jack,Level 1,1,37.784033,-122.406896
Karen Millen,Level 1,1,37.784527,-122.406296
Kate Spade New York,Level 1,1,37.783976,-122.406906
Kay Jewelers,Level 3,3,37.78429,-122.406561
Kichi Grill,Concourse Level,0,37.784312,-122.405822
Kiehl's,Level 1,1,37.784142,-122.40704
Kiehl's,Level 1,1,37.784047,-122.407035
Lady Foot Locker,Level 2,2,37.784046,-122.406884
LEGO,Concourse Level,0,37.784222,-122.406978
Lids,Level 3,3,37.784101,-122.406854
Lobster Me,Concourse Level,0,37.784505,-122.406399
L'Occitane en Provence,Level 1,1,37.78409,-122.406835
Loving Hut Vegan Cuisine ,Concourse Level,0,37.784292,-122.40601
Lucky Brand Jeans,Level 3,3,37.784663,-122.406313
lululemon athletica,Level 2,2,37.784579,-122.406476
M.Y. China,Level 4/N1,4,37.784206,-122.406528
Madewell,Level 1,1,37.784615,-122.406332
Marbles: The Brain Store,Concourse Level,0,37.784353,-122.406773
Max & Co.,Level 2,2,37.784559,-122.40627
Michael Kors,Level 1,1,37.784776,-122.406643
Michael Kors Men,Level 1,1,37.784396,-122.406726
Microsoft,Level 2,2,37.784185,-122.406432
Mrs. Fields,Concourse Level,0,37.783953,-122.407318
New Era,Concourse Level,0,37.783893,-122.407389
Nordstrom,Level 4/N1,4,37.78382,-122.407311
Nordstrom,Level 5/N2,5,37.784076,-122.407307
Nordstrom,N3,6,37.78409,-122.407309
Nordstrom,N4,7,37.784073,-122.407289
Nordstrom,N5,8,37.784087,-122.407307
Nordstrom E-Bar,Level 1,1,37.783827,-122.407024
NYS Collection,Concourse Level,0,37.784396,-122.406587
OAK+FORT,Level 2,2,37.784139,-122.407183
Onassis,Level 2,2,37.784136,-122.405805
Optica,Level 4/N1,4,37.784702,-122.406248
Origins,Level 1,1,37.78373,-122.407061
PacSun,Concourse Level,0,37.783959,-122.40691
Panda Express,Concourse Level,0,37.783778,-122.407161
Pandora,Level 2,2,37.784387,-122.406732
Papyrus,Level 3,3,37.783741,-122.406902
Pasta Moto,Concourse Level,0,37.784534,-122.406025
Peet's Coffee & Tea,Concourse Level,0,37.784591,-122.406782
Penhaligons,Level 1,1,37.784613,-122.406467
Perfumania,Level 3,3,37.783752,-122.407371
Pressed Juicery,Concourse Level,0,37.78432,-122.406195
ProActiv Solutions ,Concourse Level,0,37.784161,-122.4069
Razer,Level 1,1,37.78379,-122.40747
RED Valentino,Level 1,1,37.784296,-122.406519
Rolex,Level 1,1,37.784503,-122.406813
Samsonite,Level 2,2,37.783864,-122.406924
San Francisco Luggage Co.,Level 3,3,37.784628,-122.406187
San Francisco Soup Company,Concourse Level,0,37.784157,-122.405925
Sarku Japan,Concourse Level,0,37.783831,-122.406941
SF Sports,Level 3,3,37.784447,-122.406809
Shoe Palace ,Concourse Level,0,37.784106,-122.407189
Shoe Wiz,Concourse Level,0,37.78413,-122.407374
Solstice,Level 3,3,37.78436,-122.406786
Sorabol Korean BBQ & Asian Noodles,Concourse Level,0,37.784601,-122.406328
Starbucks,Concourse Level,0,37.784094,-122.407625
Steve Madden,Level 3,3,37.784197,-122.40698
Studio Manhattan,Level 2,2,37.784484,-122.406502
Sunglass Hut,Level 1,1,37.784112,-122.406949
Sunglass Hut ,Concourse Level,0,37.784071,-122.406885
Superdry ,Level 1,1,37.78447,-122.40676
Sur La Table,Concourse Level,0,37.784457,-122.406819
Swarovski,Level 1,1,37.784195,-122.40696
Swatch,Level 1,1,37.784179,-122.406865
TAP 415,Level 4/N1,4,37.78442,-122.406832
Teavana,Level 3,3,37.783814,-122.407399
The Art of Shaving,Level 1,1,37.784267,-122.406579
The Body Shop,Level 2,2,37.783739,-122.407271
The Walking Company,Level 3,3,37.784042,-122.406901
Tiffany & Co.,Level 1,1,37.784397,-122.406148
Timberland,Level 1,1,37.784884,-122.406486
T-Mobile,Level 2,2,37.784385,-122.406276
Tory Burch ,Level 1,1,37.784714,-122.406476
Tourneau,Level 1,1,37.78461,-122.406886
True Religion Jeans,Level 3,3,37.78454,-122.406132
Tumi,Level 1,1,37.783731,-122.407122
Vans,Level 3,3,37.784267,-122.405933
Vera Bradley,Level 3,3,37.784105,-122.406326
Victoria's Secret,Level 3,3,37.784133,-122.407419
Warriors Team Store,Concourse Level,0,37.784208,-122.40743
Wetzel's Pretzels,Concourse Level,0,37.784123,-122.40695
Yoppi Frozen Yogurt ,Level 2,2,37.784271,-122.406619
Zara,Level 2,2,37.784705,-122.406568
